Date,Mkt-RF,SMB,HML,RF
-0--0-92--,-0.43,0.24,0.38,0.01
-0--0-92--,-0.24,-0.3,0.04,0.01
-0--0-92--,0.1,-0.47,-0.21,0.01
-0--1-92--,0.5,0.12,-0.04,0.01
-0--1-92--,0.58,-0.07,0.03,0.01
-0--1-92--,-0.07,-0.08,-0.21,0.01
-0--1-92--,0.23,0.16,-0.11,0.01
-0--1-92--,-0.09,0.06,-0.32,0.01
-0--1-92--,-0.63,0.47,-0.1,0.01
-0--2-92--,-2.2,0.4,-0.13,0.01
-0--2-92--,-0.01,-0.23,-0.05,0.01
-0--2-92--,-1.4,0.39,0.16,0.01
-0--2-92--,0.6,-0.66,-0.1,0.01
-0--2-92--,-1.25,0.45,-0.03,0.01
-0--2-92--,0.13,0.13,0.01,0.01
-0--2-92--,0.82,-0.67,-0.09,0.01
-0--2-92--,0.17,-0.6,-0.17,0.01
-0--3-92--,0.55,-0.44,-0.15,0.01
